CubePosX,CubePosY,CubePosZ,CubeRotX,CubeRotY,CubeRotZ,HandPosX,HandPosY,HandPosZ,Time,TrialCondition,TrialNumber,FPS,Timestamp
0.3659917,0.7803001,0.124309,5.723115E-06,1.936555,-1.254711E-06,0.3615321,0.8026914,-0.0301166,0.1958053,Lifting,32,0,18/08/2024 23:06:50
0.3659918,0.7803001,0.1243091,5.133496E-06,1.936549,-2.714928E-06,0.3614107,0.8026503,-0.02956054,0.1967879,Lifting,32,0,18/08/2024 23:06:50
0.3659917,0.7803001,0.1243091,3.87807E-06,1.93656,-4.164232E-06,0.3612947,0.8026063,-0.02896283,0.1978325,Lifting,32,0,18/08/2024 23:06:50
0.3659918,0.7803001,0.1243091,6.550434E-06,1.936526,-2.660531E-06,0.3611857,0.8025675,-0.02861915,0.1988938,Lifting,32,0,18/08/2024 23:06:50
0.3659917,0.7803001,0.1243091,-1.800318E-06,1.936552,-4.125823E-06,0.3611065,0.8025163,-0.02808375,0.1999653,Lifting,32,0,18/08/2024 23:06:50
0.3659917,0.7803001,0.1243091,1.973371E-06,1.936561,-1.344804E-06,0.3610767,0.8024746,-0.02772317,0.2008871,Lifting,32,0,18/08/2024 23:06:50
0.3659918,0.7803001,0.1243091,9.182349E-06,1.936549,-2.642634E-06,0.3610038,0.8024305,-0.02740816,0.2019457,Lifting,32,0,18/08/2024 23:06:50
0.3659917,0.7803001,0.124309,5.030562E-06,1.936552,-5.541704E-06,0.3609262,0.8024011,-0.02723943,0.2029326,Lifting,32,0,18/08/2024 23:06:50
0.3659917,0.7803001,0.124309,3.363602E-06,1.936546,-6.96321E-06,0.3608169,0.8023511,-0.02692913,0.2040078,Lifting,32,0,18/08/2024 23:06:50
0.3659918,0.7803001,0.1243091,-1.418507E-06,1.936558,-4.217492E-06,0.3607458,0.8023162,-0.02669178,0.2049576,Lifting,32,0,18/08/2024 23:06:50
0.3659917,0.7803001,0.1243091,5.723434E-06,1.936549,-1.238262E-06,0.3606386,0.8022765,-0.02644351,0.2060977,Lifting,32,0,18/08/2024 23:06:50
0.3659918,0.7803001,0.1243091,5.149828E-06,1.936522,-2.69133E-06,0.3605371,0.8022413,-0.02619996,0.2071495,Lifting,32,0,18/08/2024 23:06:50
0.3659917,0.7803001,0.1243091,4.272872E-06,1.93655,-4.067711E-06,0.3604197,0.8022053,-0.02592943,0.2082746,Lifting,32,0,18/08/2024 23:06:50
