PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,Timestamp
0.3629,0.7826424,0.1187,0,0,0,11/08/2024 12:11:14
0.3629,0.7804552,0.1187,0,0,0,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-7.101272E-06,2.429013E-07,-2.511695E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-5.107046E-06,-1.435114E-06,-2.818193E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-5.884268E-06,-3.413809E-07,-3.09624E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-7.61083E-06,-2.795792E-06,-3.296658E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-4.970786E-06,-1.235332E-06,-3.665844E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-1.03661E-05,-5.996498E-07,-3.830707E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:15
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:16
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:16
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,11/08/2024 12:11:16
