PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,Timestamp
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:34
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629,0.7803001,0.1187,-8.266291E-07,3.61623E-08,-3.999103E-06,07/08/2024 15:37:35
0.3629001,0.7803001,0.1187,-3.546577E-07,-1.369039E-06,-5.145921E-06,07/08/2024 15:37:35
0.3629001,0.7803001,0.1187,2.786855E-06,4.328286E-07,-5.148624E-06,07/08/2024 15:37:35
0.3629001,0.7803001,0.1187,2.853669E-06,-9.731203E-07,-5.149568E-06,07/08/2024 15:37:35
0.3629002,0.7803001,0.1187,2.853652E-06,-2.379015E-06,-5.149331E-06,07/08/2024 15:37:35
0.3629002,0.7803001,0.1187,2.801822E-06,-5.785793E-07,-5.149546E-06,07/08/2024 15:37:35
0.3629002,0.7803001,0.1187,2.854162E-06,-1.984548E-06,-5.150032E-06,07/08/2024 15:37:35
0.3629003,0.7803001,0.1186999,2.854078E-06,-3.39051E-06,-5.149863E-06,07/08/2024 15:37:35
0.3629003,0.7803001,0.1186999,2.801125E-06,-1.590064E-06,-5.149156E-06,07/08/2024 15:37:35
0.3629003,0.7803001,0.1186999,2.801125E-06,-1.590064E-06,-5.149156E-06,07/08/2024 15:37:35
0.36249,0.7808358,0.1187153,-0.0005339793,359.8867,1.241811,07/08/2024 15:37:35
0.3626532,0.7806795,0.1187158,-0.000220846,359.8869,0.8765464,07/08/2024 15:37:35
0.3629634,0.7803746,0.1187162,-0.0006477521,359.8877,0.171621,07/08/2024 15:37:35
0.3630386,0.7803001,0.1187166,2.724009E-06,359.8875,-4.656259E-06,07/08/2024 15:37:35
0.3629102,0.7804549,0.1187157,3.319376E-05,359.8719,0.3559717,07/08/2024 15:37:35
0.3623483,0.781228,0.1187373,9.397472E-05,359.7326,2.168406,07/08/2024 15:37:36
0.3612752,0.7825372,0.1187291,-7.641274E-05,359.5399,5.388979,07/08/2024 15:37:36
0.3581634,0.782069,0.118662,-6.659935E-05,359.2456,4.212827,07/08/2024 15:37:36
0.3522342,0.7809893,0.1185913,4.332234E-06,358.8865,1.602363,07/08/2024 15:37:36
0.3488084,0.7808168,0.1185362,-0.0001197376,358.665,1.196853,07/08/2024 15:37:36
0.3461638,0.7809343,0.1185219,-9.14605E-05,358.5392,1.472492,07/08/2024 15:37:36
0.3435969,0.7810262,0.1185151,9.118035E-06,358.464,1.689657,07/08/2024 15:37:36
0.3407027,0.781159,0.1185107,-8.793869E-05,358.3162,2.004082,07/08/2024 15:37:36
0.3351057,0.7832146,0.1184484,-0.001251539,357.7773,7.143702,07/08/2024 15:37:36
0.3322211,0.7856923,0.1184286,8.26026E-05,357.7093,14.27401,07/08/2024 15:37:36
0.3310835,0.7852975,0.1186384,359.7705,358.2738,14.88457,07/08/2024 15:37:36
0.3284074,0.7851778,0.1193304,359.0521,0.006382658,15.40355,07/08/2024 15:37:36
0.3118165,0.813974,0.116847,354.1818,358.4791,22.54266,07/08/2024 15:37:36
0.2934397,0.8399677,0.1134401,346.8853,358.1938,19.05002,07/08/2024 15:37:36
0.2773807,0.8521087,0.1104629,340.5051,358.3214,15.92187,07/08/2024 15:37:36
0.261577,0.8541013,0.107533,334.2426,358.8293,12.68312,07/08/2024 15:37:36
0.2440976,0.8444133,0.1042925,327.3619,359.9156,8.785817,07/08/2024 15:37:36
0.2288226,0.8253729,0.1014606,321.418,1.430493,4.961475,07/08/2024 15:37:36
0.2137906,0.7966791,0.09867378,315.6691,3.598514,0.6300147,07/08/2024 15:37:36
0.2120726,0.790714,0.09446224,308.8889,4.660628,359.0576,07/08/2024 15:37:36
0.2113945,0.7896914,0.09000348,301.5506,3.960014,-0.0003112409,07/08/2024 15:37:36
0.2109798,0.7877332,0.0840978,291.4984,4.032779,-0.0006610484,07/08/2024 15:37:36
0.2103803,0.7826114,0.07565739,275.5359,4.069264,-0.0003606467,07/08/2024 15:37:36
0.2101884,0.7803001,0.07301038,270,4.082048,0,07/08/2024 15:37:36
0.2101883,0.7803001,0.0730102,270,4.081994,0,07/08/2024 15:37:36
0.2101883,0.7803001,0.07301021,270,4.081974,0,07/08/2024 15:37:36
0.2101883,0.7803001,0.07301021,270,4.081974,0,07/08/2024 15:37:36
0.2101883,0.7803001,0.07301021,270,4.081976,0,07/08/2024 15:37:36
0.2101883,0.7803001,0.07301021,270,4.081985,0,07/08/2024 15:37:36
