PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,Timestamp
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:51
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,-1.175891E-05,-8.005475E-07,-4.178069E-06,08/08/2024 11:59:52
0.766,0.7803001,0.1187,1.953114E-06,-2.127686E-06,-5.173761E-06,08/08/2024 11:59:52
0.7659999,0.7803001,0.1187,2.020905E-06,-3.460985E-06,-5.174371E-06,08/08/2024 11:59:52
0.7659999,0.7803001,0.1187,2.020957E-06,-4.794302E-06,-5.174246E-06,08/08/2024 11:59:52
0.7659998,0.7803001,0.1187,2.021215E-06,-6.127616E-06,-5.174258E-06,08/08/2024 11:59:52
0.7659997,0.7803001,0.1186999,2.021552E-06,-7.460922E-06,-5.174823E-06,08/08/2024 11:59:52
0.7659997,0.7803001,0.1186999,3.152287E-06,-1.052806E-05,-4.962686E-06,08/08/2024 11:59:52
0.7659997,0.7803001,0.1186999,5.564732E-06,-1.119246E-05,-3.43078E-06,08/08/2024 11:59:52
0.7659997,0.7803001,0.1186999,1.564021E-06,-1.147147E-05,-3.019997E-06,08/08/2024 11:59:52
0.7659997,0.7803001,0.1186999,2.965207E-06,-8.554495E-06,-2.603482E-06,08/08/2024 11:59:52
0.7659997,0.7803001,0.1186999,6.31136E-06,-9.301575E-06,-1.060181E-06,08/08/2024 11:59:52
0.7659997,0.7803001,0.1186999,3.353382E-06,-9.578343E-06,-4.914697E-06,08/08/2024 11:59:52
0.7659997,0.7803001,0.1186999,3.44462E-06,-9.841219E-06,-4.496825E-06,08/08/2024 11:59:52
0.7659997,0.7803001,0.1186999,1.765496E-06,-1.052177E-05,-2.971507E-06,08/08/2024 11:59:52
0.7659997,0.7803001,0.1186999,3.218517E-06,-1.081133E-05,-2.555577E-06,08/08/2024 11:59:52
