Joint,AngleX,AngleZ
R_IndexProximal,64.49708,12.31584
R_IndexIntermediate,15.65378,356.9566
R_IndexDistal,59.509,358.3412
R_MiddleProximal,77.30643,358.6807
R_MiddleIntermediate,84.9968,343.6479
R_MiddleDistal,61.63203,338.6601
R_LittleProximal,74.96877,31.67664
R_LittleIntermediate,79.46774,318.2862
R_LittleDistal,70.55823,352.8024
R_RingProximal,79.26767,331.9223
R_RingIntermediate,84.64072,287.3992
R_RingDistal,66.80527,348.3567
R_ThumbMetacarpal,8.334166,76.76189
R_ThumbProximal,44.51313,350.4517
R_ThumbDistal,45.69454,8.617227
