Joint,AngleX,AngleZ
R_IndexProximal,349.4785,2.407226
R_IndexIntermediate,15.21216,356.963
R_IndexDistal,356.8564,358.0449
R_MiddleProximal,352.806,359.2346
R_MiddleIntermediate,359.779,358.7123
R_MiddleDistal,353.526,355.6031
R_LittleProximal,344.7949,10.75689
R_LittleIntermediate,359.2094,355.6022
R_LittleDistal,357.2544,0.2093476
R_RingProximal,354.9648,354.8394
R_RingIntermediate,0.6608163,356.1469
R_RingDistal,0.6420543,359.4168
R_ThumbMetacarpal,10.02518,64.40942
R_ThumbProximal,4.704519,350.7274
R_ThumbDistal,342.0696,11.54203
