Joint,AngleX,AngleZ
R_IndexProximal,69.232,15.12105
R_IndexIntermediate,15.03329,356.9656
R_IndexDistal,57.68655,358.3878
R_MiddleProximal,82.411,357.7233
R_MiddleIntermediate,83.32806,347.8026
R_MiddleDistal,58.53876,340.9586
R_LittleProximal,76.96069,36.82845
R_LittleIntermediate,78.71038,321.6314
R_LittleDistal,68.61357,353.5188
R_RingProximal,82.45933,317.6027
R_RingIntermediate,83.37821,309.425
R_RingDistal,65.0153,349.2872
R_ThumbMetacarpal,16.78431,75.77396
R_ThumbProximal,51.03447,349.6423
R_ThumbDistal,55.32949,9.686137
