Joint,AngleX,AngleZ
R_IndexProximal,349.0572,2.521821
R_IndexIntermediate,15.03124,356.9656
R_IndexDistal,357.1274,358.0511
R_MiddleProximal,352.6143,359.3292
R_MiddleIntermediate,359.8044,358.7123
R_MiddleDistal,354.2745,355.5361
R_LittleProximal,340.336,11.42904
R_LittleIntermediate,2.927492,355.4285
R_LittleDistal,357.3056,0.2069968
R_RingProximal,352.7946,354.87
R_RingIntermediate,0.662926,356.1469
R_RingDistal,0.9756729,359.3913
R_ThumbMetacarpal,19.16658,71.49853
R_ThumbProximal,356.9265,350.2062
R_ThumbDistal,346.3673,10.93343
