PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,Timestamp
0.3629,0.7826424,0.1187,0,0,0,08/08/2024 11:59:20
0.3629,0.7804552,0.1187,0,0,0,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-5.731151E-06,-2.98669E-07,-2.366228E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-1.082139E-05,5.64651E-08,-2.473085E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-4.785597E-06,3.411333E-07,-2.52174E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-1.002373E-05,7.056729E-07,-2.613346E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-1.047902E-05,9.95646E-07,-2.655609E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-1.079307E-06,1.379292E-06,-2.720358E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-9.830344E-06,1.654251E-06,-2.780924E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-7.677932E-06,2.023621E-06,-2.868963E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-7.886497E-06,-9.817724E-07,-2.939599E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-5.727144E-06,-6.124832E-07,-3.023127E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-5.884268E-06,-3.413809E-07,-3.09624E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-4.779853E-06,2.727564E-08,-3.178251E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-4.937192E-06,2.983786E-07,-3.251207E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-1.047289E-05,6.817107E-07,-3.312414E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-1.063146E-05,9.52823E-07,-3.385273E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-1.078887E-05,1.223839E-06,-3.458569E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-9.438671E-06,-1.702846E-06,-3.567975E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-9.694134E-06,1.85408E-06,-3.628588E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-7.541717E-06,2.223464E-06,-3.716428E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-7.750511E-06,-7.819019E-07,-3.787039E-06,08/08/2024 11:59:22
0.3629,0.7803001,0.1187,-5.591474E-06,-4.12595E-07,-3.870789E-06,08/08/2024 11:59:22
